recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
111342915,"{'steamid': '76561198065764106', 'num_games_owned': 94, 'num_reviews': 8, 'playtime_forever': 9434, 'playtime_last_two_weeks': 3237, 'playtime_at_review': 8099, 'last_played': 1647652169}",koreana,피했다고 씨발아,1646182946,1646907680,True,1196,878,0.966844797134399414,0,True,False,False
111348309,"{'steamid': '76561198139607001', 'num_games_owned': 168, 'num_reviews': 57, 'playtime_forever': 2044, 'playtime_last_two_weeks': 1211, 'playtime_at_review': 612, 'last_played': 1647612501}",koreana,이 너머 점프 유효하다 이 앞 거짓말쟁이 있다,1646189703,1646189893,True,385,211,0.954687893390655518,0,True,False,False
111071449,"{'steamid': '76561198032918620', 'num_games_owned': 1954, 'num_reviews': 66, 'playtime_forever': 8751, 'playtime_last_two_weeks': 5258, 'playtime_at_review': 636, 'last_played': 1647658884}",koreana,장점은 갓겜 단점은 개적화 제어판에서 쉐이더 캐쉬 무제한 설정 관리 프로그램 설정 엘든링 추가 전원 관리 모드를 최고 성능 선호 카메라 조작중 스터터링 증상 모두 사라짐,1645880172,1645880397,True,387,3,0.924138486385345459,0,True,False,False
111338648,"{'steamid': '76561198411570102', 'num_games_owned': 11, 'num_reviews': 1, 'playtime_forever': 962, 'playtime_last_two_weeks': 452, 'playtime_at_review': 341, 'last_played': 1646808371}",koreana,트리가드 얘때문에 빡종하고 롤키니깐 헤카림 나와서 롤도 끔,1646177519,1646177519,True,240,265,0.904639720916748047,3,True,False,False
111350106,"{'steamid': '76561198045823651', 'num_games_owned': 154, 'num_reviews': 3, 'playtime_forever': 7712, 'playtime_last_two_weeks': 2690, 'playtime_at_review': 4560, 'last_played': 1647634392}",koreana,화가나도 사랑한다 씹새야,1646191684,1646191684,True,140,45,0.868988394737243652,0,True,False,False
111154169,"{'steamid': '76561198201301762', 'num_games_owned': 147, 'num_reviews': 46, 'playtime_forever': 6786, 'playtime_last_two_weeks': 2104, 'playtime_at_review': 4322, 'last_played': 1647361188}",koreana,엘든 링 시간을 하고 느낀 소감입니다 최적화에 대한 말들이 엄청나게 심한데 이것은 확실한 프롬 소프트웨어의 잘못입니다 최소사양이 에 권장사양이 인 탓에 여러 유저들의 사이에서도 최적화가 이상한 것 아니냐 아니면 그래픽이 황홀해서 그런 것이냐 이런 말들이 나왔었는데 막상 나온 후 뚜껑을 열어보니 세키로와 다크소울 에서 보여준 퍼포먼스에서 약간 상향된 그래픽 수준에 개떡같은 최적화인 것을 알 수 있었습니다 심지어 보스를 잡을 때도 프레임드랍과 스타터링이 생,1645961074,1646325218,True,271,16,0.860664784908294678,0,True,False,False
111968070,"{'steamid': '76561197988575525', 'num_games_owned': 210, 'num_reviews': 43, 'playtime_forever': 10478, 'playtime_last_two_weeks': 4785, 'playtime_at_review': 10158, 'last_played': 1647192057}",koreana,엘든 링인 것 같지,1646996650,1646996650,True,118,48,0.856308162212371826,0,True,False,False
111205790,"{'steamid': '76561197992588953', 'num_games_owned': 98, 'num_reviews': 11, 'playtime_forever': 14551, 'playtime_last_two_weeks': 8626, 'playtime_at_review': 2448, 'last_played': 1647659585}",koreana,시발 시발 개시발 거리면서도 하게되는 내 모습을 보니 빛바랜 자 최적화 지능인듯,1646011893,1646011893,True,111,27,0.849939107894897461,0,True,False,False
110910579,"{'steamid': '76561198047467743', 'num_games_owned': 940, 'num_reviews': 44, 'playtime_forever': 7859, 'playtime_last_two_weeks': 4565, 'playtime_at_review': 81, 'last_played': 1647607620}",koreana,스타터링 최적화 이슈로 오너 조차 빡친거 보고 패치되면 나도 돌릴 수 있겠지 싶은 십똥컴들 개추,1645750256,1645758851,True,875,92,0.848982095718383789,71,False,False,False
111075177,"{'steamid': '76561198120079090', 'num_games_owned': 299, 'num_reviews': 31, 'playtime_forever': 10253, 'playtime_last_two_weeks': 5401, 'playtime_at_review': 781, 'last_played': 1647660019}",koreana,바닥에 글씨 쓰는 재미를 준 게임,1645883341,1645883341,True,102,36,0.844623804092407227,0,False,False,False
111391001,"{'steamid': '76561198006961398', 'num_games_owned': 7, 'num_reviews': 1, 'playtime_forever': 10264, 'playtime_last_two_weeks': 3359, 'playtime_at_review': 5041, 'last_played': 1647592298}",koreana,요즘 게임 불감증 이었는데 오랜만에 진짜 재밌게한거 같음,1646240357,1646240357,True,75,8,0.830738961696624756,0,True,False,False
111739211,"{'steamid': '76561198984022848', 'num_games_owned': 103, 'num_reviews': 11, 'playtime_forever': 9281, 'playtime_last_two_weeks': 4846, 'playtime_at_review': 5767, 'last_played': 1647649938}",koreana,목표는 구멍 그리고 씨앗 바쳐라,1646654288,1646654288,True,114,41,0.82200312614440918,7,True,False,False
111125754,"{'steamid': '76561198208871892', 'num_games_owned': 96, 'num_reviews': 11, 'playtime_forever': 9960, 'playtime_last_two_weeks': 6558, 'playtime_at_review': 709, 'last_played': 1647658935}",koreana,무기 양잡 꾹 누르기 마우스 좌 우클릭 장비창 장착해제 맵 열기 맵 조작 텔포 선택 전작과 달리 탈리스만은 신앙 매개가 아닌 패시브 부적 느낌 얻는 즉시 착용할 것 전작의 소울 화폐 룬 방패로 공격 막고 공격 가하면 일명 가드 카운터 라는 추가 데미지 입힘 이상 쌍타도로 고드릭까지 혼내준 엘린이 주저리였음,1645929524,1645929761,True,65,1,0.810030817985534668,0,True,False,False
111928100,"{'steamid': '76561198137296260', 'num_games_owned': 53, 'num_reviews': 3, 'playtime_forever': 8301, 'playtime_last_two_weeks': 3566, 'playtime_at_review': 7859, 'last_played': 1647618547}",koreana,스케일이 매우매우 크다 친구들과 진행 상황을 공유하는데 서로 다른 게임을 하는 것 같은 생각이 들 정도로 사람에 따라 자유도와 진행 순서가 천차만별이다 그만큼 초회차때는 탐험하고 던전을 찾는 재미가 쏠쏠하다 다크 소울 시리즈를 해보고 평타만 남발해서 적을 죽이는 버릇이 들었다면 꽤 힘들 것이다 엘든 링에서는 전회 강공격 점프공격의 데미지와 효율이 소울 시리즈보다 월등히 좋아졌다 이러한 기술들과 마상 전투 등의 시스템을 적절히 섞어 쓰면 난이도가 내려가는,1646931799,1647492177,True,62,5,0.807338297367095947,0,True,False,False
110908227,"{'steamid': '76561198116081114', 'num_games_owned': 151, 'num_reviews': 5, 'playtime_forever': 18199, 'playtime_last_two_weeks': 11698, 'playtime_at_review': 2419, 'last_played': 1647633021}",koreana,오늘도 나는 그들에게 메세지를 남긴다 이 너머 숨겨진 길 있다,1645745705,1646251733,True,41,11,0.805211007595062256,13,True,False,False
111041353,"{'steamid': '76561198040303404', 'num_games_owned': 37, 'num_reviews': 5, 'playtime_forever': 25, 'playtime_last_two_weeks': 0, 'playtime_at_review': 25, 'last_played': 1645784978}",koreana,피씨는 조금 더 기다렸다가 구입하길 추천드립니다,1645851580,1645851580,False,142,3,0.796306252479553223,0,False,False,False
110910396,"{'steamid': '76561198191231857', 'num_games_owned': 93, 'num_reviews': 39, 'playtime_forever': 7408, 'playtime_last_two_weeks': 6078, 'playtime_at_review': 30, 'last_played': 1647624011}",koreana,게임하기 조아하던 아줌마입니다 어제 하루종일 해봤는데 트리가드한테도 뚜들겨맞고 멀기트도 못잡겠구 길가다가도 뒤져버리구 이게 실력이 부족해선지 자꾸 미세하게 끊겨서 그런건지 인생에 현타가 오네용 임신했을때 다크서울은 어떻게 다깼던건지 꿈이었나봐요 이 아줌마는 그냥 겜접구 애기나 봐야겠어유,1645749549,1645834907,False,62,39,0.795049130916595459,35,False,True,False
